"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"11","GunControlNow GunControl gunsense GunControlNow EnoughIsEnough GunControlNow gunsense",FALSE,0,"NewtownAction",2017-10-23 03:35:08,TRUE,NA,"922305360454660096","1148468052","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2t_isms",0,FALSE,FALSE,NA,NA
"12","GunControlNow the families who suffered losses know every moment without their loves ones is an eternity Why is there no w",FALSE,0,NA,2017-10-23 03:34:24,FALSE,NA,"922305178572791808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","martin_kj",47,TRUE,FALSE,NA,NA
"13","GunControlNow the families who suffered losses know every moment without their loves ones is an eternity Why is there no w",FALSE,0,NA,2017-10-23 03:33:24,FALSE,NA,"922304926033707008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","letahamilton383",47,TRUE,FALSE,NA,NA
"14","This is the sort of pointless stupid argument gun nuts will go to so they ca",FALSE,0,"FoxNews",2017-10-23 03:30:48,TRUE,"922302308527906816","922304271940571136","1367531","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RingoZobel",0,FALSE,FALSE,NA,NA
"15","GunControlNow the families who suffered losses know every moment without their loves ones is an eternity Why is there no w",FALSE,0,NA,2017-10-23 03:22:30,FALSE,NA,"922302182602416128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iproofer1",47,TRUE,FALSE,NA,NA
"16","report Paul Collins guncontrolnow",FALSE,0,NA,2017-10-23 03:21:39,FALSE,NA,"922301970613927936",NA,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","StruggleNewsBot",0,FALSE,FALSE,NA,NA
"17","report guncontrolnow",FALSE,0,NA,2017-10-23 03:16:19,FALSE,NA,"922300628310876163",NA,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","StruggleNewsBot",0,FALSE,FALSE,NA,NA
"18","a GunControlNow shutup gunowner",FALSE,0,NA,2017-10-23 03:14:53,FALSE,NA,"922300267038683136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WIRightSconnie",0,FALSE,FALSE,NA,NA
"19","I lt Bill and Diane Durston This couple is determined to do all they can to stop gun violence",FALSE,0,NA,2017-10-23 03:08:16,TRUE,NA,"922298600473763841",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlexReagan123",0,FALSE,FALSE,NA,NA
"20","StoptheWarOnWomen EnoughIsEnough ImpeachAndImprisonPenceAnd OustGOP PuertoRicoRelief GunControlNow",FALSE,0,NA,2017-10-23 03:06:44,TRUE,NA,"922298216552464384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2t_isms",0,FALSE,FALSE,NA,NA
"21","I got my copy signed GunControlNow StopGunViolence",FALSE,1,NA,2017-10-23 02:59:35,FALSE,NA,"922296416046694400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlexReagan123",0,FALSE,FALSE,NA,NA
"22","Ah this makes much more sense now Thanks Youre a terrorist group you know that right GunControlNow",FALSE,0,NA,2017-10-23 02:59:13,FALSE,NA,"922296321540804614",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KatieDeroche",0,FALSE,FALSE,NA,NA
"23","And nothing has changed that would prevent this exact scenario from repeating GunControlNow",FALSE,0,NA,2017-10-23 02:57:03,FALSE,NA,"922295777027801089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MuyLinda206",0,FALSE,FALSE,NA,NA
"24","Go check out my newest single drop di gun GunControlNow guncrime brent northwest ghettolife",FALSE,0,NA,2017-10-23 02:52:30,FALSE,NA,"922294632167428096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Santana_x_",0,FALSE,FALSE,NA,NA
"25","Joshua Sugarmann founder and director of and an author speaks to a full house at our first annual dinner",FALSE,2,NA,2017-10-23 02:44:59,TRUE,NA,"922292742830440448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StopGunV",1,FALSE,FALSE,NA,NA
"26","Almost time to hear the keynote address by Josh Sugarmann of on Gun Violence in America A Preventable Epi",FALSE,2,NA,2017-10-23 02:34:54,TRUE,NA,"922290202835542016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StopGunV",0,FALSE,FALSE,NA,NA
"27","I knowthanks for reminding me I m in the USA and I m not sure locks are enough USA security GunControlNow",FALSE,0,NA,2017-10-23 02:32:13,FALSE,NA,"922289526306779141",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RealLuckyPhil",0,FALSE,FALSE,NA,NA
"28","Dad was a PO Alwys reminded NEVER touch his gunHe was stunned sibs ampI told him yrs later w",FALSE,0,"ursusmiratus",2017-10-23 02:29:25,TRUE,"922111158554947585","922288821508739077","710375905873494016","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","acosta7373",0,FALSE,FALSE,NA,NA
"29","Everyone should demand Kelly apologizehe lied And GunControlNow",FALSE,0,NA,2017-10-23 02:26:20,FALSE,NA,"922288047906947072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carol_weinfeld",0,FALSE,FALSE,NA,NA
"30","Deplorable and GunControlNow",FALSE,0,NA,2017-10-23 02:23:05,FALSE,NA,"922287227677245440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carol_weinfeld",0,FALSE,FALSE,NA,NA
