"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"82","Las Vegas shooting victim Sandy Casey mourned in Crime Homicides Local Locallasvegas Shootings news",FALSE,0,NA,2017-10-19 06:02:58,FALSE,NA,"920893013802577921",NA,"<a href=""http://trueviralnews.com/"" rel=""nofollow"">trueviralnews</a>","trueviralnews",0,FALSE,FALSE,NA,NA
"83","Maryland Office Shooter Radee Prince Arrested In Delaware news shooting shootings",FALSE,0,NA,2017-10-19 02:31:55,FALSE,NA,"920839902803226624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Detavio",1,TRUE,FALSE,NA,NA
"84","Maryland Office Shooter Radee Prince Arrested In Delaware news shooting shootings",FALSE,0,NA,2017-10-19 02:25:19,FALSE,NA,"920838242039197697",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","HipHopWired",1,FALSE,FALSE,NA,NA
"85","Part of My Blog Energy Healing Las Vegas Personal Experience Lightworker Reiki",FALSE,0,NA,2017-10-19 00:30:20,TRUE,NA,"920809304591966208",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","KathyGloverScot",0,FALSE,FALSE,NA,NA
"86","CNN News Police Suspect in shootings in Maryland Delaware caught",FALSE,0,NA,2017-10-19 00:02:50,FALSE,NA,"920802384162439168",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","CNN7_News",0,FALSE,FALSE,NA,NA
"87","Delaware Police report suspect Radee Prince arrested for shootings in Maryland amp Wilmington Delaware today",FALSE,0,NA,2017-10-18 23:55:43,FALSE,NA,"920800593534361602",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","realhumanrights",0,FALSE,FALSE,NA,NA
"88","Gunman Wanted In Maryland Delaware Shootings RT  Fav   latest shootings affairs today assoc",FALSE,0,NA,2017-10-18 21:57:29,FALSE,NA,"920770839091601409",NA,"<a href=""http://www.knowyourleak.com/"" rel=""nofollow"">KnowYourLeakNow</a>","KnowVidLeaks",0,FALSE,FALSE,NA,NA
"89","preferredlife Historys st book of its kind Is love causing more problems STD preg sex slavery adultery or hatred stabbings shootings",FALSE,0,NA,2017-10-18 21:42:06,FALSE,NA,"920766964666130432",NA,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>","gWoodi",0,FALSE,FALSE,NA,NA
"90","MarylandDelaware Shootings Manhunt for Gunman after MarylandDelaware News",FALSE,0,NA,2017-10-18 21:03:26,FALSE,NA,"920757234229043201",NA,"<a href=""http://fer4.com"" rel=""nofollow"">fer4</a>","geanra3",0,FALSE,FALSE,NA,NA
"91","MarylandDelaware Shootings Manhunt for Gunman after MarylandDelaware News",FALSE,0,NA,2017-10-18 21:03:21,FALSE,NA,"920757215262371842",NA,"<a href=""http://www.press-today.com"" rel=""nofollow"">press-today</a>","Shopall3",0,FALSE,FALSE,NA,NA
"92","Im waiting for the days when shooters do actually just go free or people just sigh and say oh well Oh wait we d",FALSE,0,NA,2017-10-18 20:57:14,TRUE,NA,"920755677387161601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chicagomotives",0,FALSE,FALSE,NA,NA
"93","MarylandDelaware Shootings Manhunt for Gunman after Killed Others Wounded MarylandDelaware",FALSE,0,NA,2017-10-18 20:45:10,FALSE,NA,"920752640224407552",NA,"<a href=""http://KkimooKcomKkimooK.com"" rel=""nofollow"">KkimooKKkimooKKkimooKKkimooK</a>","KkimooK",0,FALSE,FALSE,NA,NA
"94","CRACKERS Shootings Explosives Threats",FALSE,0,NA,2017-10-18 20:01:58,FALSE,NA,"920741765610475520",NA,"<a href=""https://github.com/vishwenga/Simple-Python-TwitterBot"" rel=""nofollow"">easypybot</a>","BDeshbot",1,TRUE,FALSE,NA,NA
